/* DATA DESCRIPTION:
Citation:	Catubig, Nina R; Archer, David E; Francois, Roger; deMenocal, Peter B; Howard, William R; Yu, Ein-Fen (1998): (Appendix 1) Compilation of calcium carbonate concentrations from deep sea sediments during the last glacial maximum. PANGAEA, https://doi.org/10.1594/PANGAEA.726359, 
	In supplement to: Catubig, NR et al. (1998): Global deep-sea burial rate of calcium carbonate during the last glacial maximum. Paleoceanography, 13(3), 298-310, https://doi.org/10.1029/98PA00609
Coverage:	MEDIAN LATITUDE: 2.255865 * MEDIAN LONGITUDE: -2.734471 * SOUTH-BOUND LATITUDE: -77.441300 * WEST-BOUND LONGITUDE: -179.400000 * NORTH-BOUND LATITUDE: 72.183000 * EAST-BOUND LONGITUDE: 179.737500
	DATE/TIME START: 1947-10-06T10:00:00 * DATE/TIME END: 1988-04-19T23:30:00
	MINIMUM DEPTH, sediment/rock: 0.10 m * MAXIMUM DEPTH, sediment/rock: 8.50 m
Event(s):	5-32 * LATITUDE: 37.127200 * LONGITUDE: -127.556300 * DATE/TIME: 1969-04-15T00:00:00 * ELEVATION: -4758.0 m * Penetration: 215 m * Recovery: 85.9 m * LOCATION: North Pacific/PLAIN * CAMPAIGN: Leg5 (URI: https://doi.org/10.2973/dsdp.proc.5.1970) * BASIS: Glomar Challenger (URI: http://www-odp.tamu.edu/glomar.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 13 cores; 104 m cored; 9 m drilled; 82.6 % recovery
	6-45A * LATITUDE: 24.265000 * LONGITUDE: -178.508300 * DATE/TIME: 1969-06-17T00:00:00 * ELEVATION: -5508.0 m * Penetration: 104.5 m * Recovery: 5.8 m * LOCATION: North Pacific/PLAIN * CAMPAIGN: Leg6 (URI: https://doi.org/10.2973/dsdp.proc.6.1971) * BASIS: Glomar Challenger (URI: http://www-odp.tamu.edu/glomar.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 3 cores; 26.5 m cored; 9.1 m drilled; 21.9 % recovery
	6-46 * LATITUDE: 27.883300 * LONGITUDE: 171.438300 * DATE/TIME: 1969-06-24T00:00:00 * ELEVATION: -5769.0 m * Penetration: 9.1 m * Recovery: 9 m * LOCATION: North Pacific/RIDGE * CAMPAIGN: Leg6 (URI: https://doi.org/10.2973/dsdp.proc.6.1971) * BASIS: Glomar Challenger (URI: http://www-odp.tamu.edu/glomar.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 1 cores; 9.1 m cored; 0 m drilled; 98.9 % recovery
	6-52 * LATITUDE: 27.771700 * LONGITUDE: 147.130000 * DATE/TIME: 1969-07-09T00:00:00 * ELEVATION: -5744.0 m * Penetration: 68.9 m * Recovery: 44.9 m * LOCATION: North Pacific/PLAIN * CAMPAIGN: Leg6 (URI: https://doi.org/10.2973/dsdp.proc.6.1971) * BASIS: Glomar Challenger (URI: http://www-odp.tamu.edu/glomar.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 10 cores; 68.9 m cored; 0 m drilled; 65.2 % recovery
	6-59 * LATITUDE: 11.780000 * LONGITUDE: 147.581700 * DATE/TIME: 1969-07-31T00:00:00 * ELEVATION: -5554.0 m * Penetration: 122.5 m * LOCATION: North Pacific * CAMPAIGN: Leg6 (URI: https://doi.org/10.2973/dsdp.proc.6.1971) * BASIS: Glomar Challenger (URI: http://www-odp.tamu.edu/glomar.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 0 cores; 0 m cored; 0.6 m drilled; % recovery
