Site/Hole   ,Latitude   ,Longitude   ,Water Depth (mbsl),No. of Cores,Interval Cored (m),Core Recovered (m),% Recovered,Drilled (m),Penetration (m),Comment,"<a href=""mailto:database@iodp.tamu.edu"">Data Librarian</a>."
 625A       ,28&deg;49.900'N, 87&deg; 9.600'W,             889.0,1.0,2.8,2.8,100.0,0.0,234.9,,
 625B       ,28&deg;49.900'N, 87&deg; 9.600'W,             889.0,27.0,235.2,222.22,94.5,0.0,235.2,,
 625C       ,28&deg;49.900'N, 87&deg; 9.600'W,             889.0,4.0,39.5,39.36,99.6,0.0,44.5,,
 626A       ,25&deg;36.001'N, 79&deg;32.806'W,             846.8,2.0,12.8,5.01,39.1,0.0,12.8,,
 626B       ,25&deg;36.037'N, 79&deg;32.806'W,             860.0,2.0,19.2,6.97,36.3,0.0,185.5,,
 626C       ,25&deg;36.019'N, 79&deg;32.800'W,             855.0,19.0,179.3,66.84,37.3,0.0,179.3,,
 626D       ,25&deg;36.019'N, 79&deg;32.806'W,             854.0,28.0,267.4,9.72,3.6,0.0,446.8,,
 627A       ,27&deg;38.100'N, 78&deg;17.652'W,            1026.0,1.0,8.8,9.47,107.6,0.0,8.8,,
 627B       ,27&deg;38.100'N, 78&deg;17.652'W,            1036.0,60.0,535.8,350.96,65.5,0.0,535.8,,
 628A       ,27&deg;31.848'N, 78&deg;18.948'W,             974.0,32.0,298.4,217.49,72.9,0.0,298.4,,
 629A       ,27&deg;24.390'N, 78&deg;22.098'W,             563.0,3.0,27.1,6.24,23.0,0.0,27.1,,
 630A       ,27&deg;26.940'N, 78&deg;20.430'W,             815.0,26.0,250.3,220.65,88.2,0.0,250.3,,
 630B       ,27&deg;26.940'N, 78&deg;20.430'W,             815.0,9.0,79.9,79.68,99.7,0.0,80.4,,
 630C       ,27&deg;26.940'N, 78&deg;20.430'W,             815.0,1.0,9.3,9.31,100.1,0.0,9.3,,
 631A       ,23&deg;35.202'N, 75&deg;44.562'W,            1102.0,25.0,244.3,161.16,66.0,0.0,244.3,,
 632A       ,23&deg;50.442'N, 75&deg;26.130'W,            2007.0,16.0,141.0,83.45,59.2,0.0,141.0,,
 632B       ,23&deg;50.442'N, 75&deg;26.130'W,            2007.0,17.0,162.7,34.96,21.5,0.0,283.3,,
 633A       ,23&deg;41.310'N, 75&deg;37.410'W,            1690.0,24.0,228.3,111.34,48.8,0.0,227.3,,
 634A       ,25&deg;23.022'N, 77&deg;18.882'W,            2864.0,32.0,322.5,27.85,8.6,0.0,479.4,,
 635A       ,25&deg;25.128'N, 77&deg;19.920'W,            3445.0,3.0,20.1,6.39,31.8,0.0,20.1,,
 635B       ,25&deg;25.182'N, 77&deg;19.980'W,            3483.0,14.0,117.7,31.3,26.6,0.0,117.7,,
 636A       ,25&deg;25.110'N, 77&deg;18.348'W,            3581.0,1.0,3.0,0.07,2.3,0.0,21.0,,
 637A       ,42&deg; 5.298'N, 12&deg;51.798'W,            5311.0,30.0,285.6,116.33,40.7,0.0,285.6,,
 638A       ,42&deg; 9.198'N, 12&deg;11.802'W,            4673.0,1.0,44.6,0.0,0.0,0.0,44.6,,
 638B       ,42&deg; 9.198'N, 12&deg;11.802'W,            4673.0,45.0,431.1,212.87,49.4,0.0,431.1,,
 638C       ,42&deg; 9.198'N, 12&deg;11.802'W,            4673.0,14.0,135.2,37.7,27.9,0.0,547.2,,
 639A       ,42&deg; 8.598'N, 12&deg;14.898'W,            4735.0,10.0,89.8,35.72,39.8,0.0,89.8,,
 639B       ,42&deg; 8.598'N, 12&deg;15.000'W,            4758.0,4.0,26.2,12.67,48.4,0.0,80.0,,
 639C       ,42&deg; 8.598'N, 12&deg;15.102'W,            4792.0,2.0,22.4,4.84,21.6,0.0,100.4,,
 639D       ,42&deg; 8.598'N, 12&deg;15.300'W,            4753.0,12.0,113.5,24.5,21.6,0.0,293.1,,
 639E       ,42&deg; 8.598'N, 12&deg;15.402'W,            4770.0,4.0,38.5,1.95,5.1,0.0,237.9,,
 639F       ,42&deg; 8.598'N, 12&deg;15.498'W,            4771.0,2.0,13.0,0.89,6.8,0.0,250.8,,
 640A       ,42&deg; 1.002'N, 12&deg;27.798'W,            5201.0,9.0,86.8,15.72,18.1,0.0,232.2,,
 641A       ,42&deg; 9.300'N, 12&deg;10.902'W,            4646.0,7.0,63.6,40.37,       63.5,0.0,63.6,,
 641B       ,42&deg; 9.300'N, 12&deg;10.902'W,            4649.0,0.0,0.0,0.0,           ,35.0,35.0,,
 641C       ,42&deg; 9.300'N, 12&deg;10.902'W,            4650.0,16.0,154.2,112.48,       72.9,0.0,305.2,,
 642A       ,67&deg;13.500'N,  2&deg;55.698'E,            1281.6,1.0,9.5,9.9,104.2,0.0,10.8,,
 642B       ,67&deg;13.500'N,  2&deg;55.698'E,            1281.6,25.0,221.1,214.61,97.1,0.0,221.1,,
 642C       ,67&deg;13.200'N,  2&deg;55.800'E,            1281.4,24.0,199.6,194.93,97.7,0.0,199.6,,
 642D       ,67&deg;13.200'N,  2&deg;55.800'E,            1281.4,19.0,140.0,114.58,81.8,0.0,329.9,,
 642E       ,67&deg;13.200'N,  2&deg;55.800'E,            1278.3,108.0,906.9,372.73,41.1,56.0,1229.4,,
 643A       ,67&deg;42.900'N,  1&deg; 1.998'E,            2768.7,62.0,565.2,458.29,81.1,0.0,565.2,,
 644A       ,66&deg;40.698'N,  4&deg;34.602'E,            1225.2,34.0,252.8,238.67,94.4,0.0,252.8,,
 644B       ,66&deg;40.698'N,  4&deg;34.602'E,            1224.8,15.0,127.7,103.47,81.0,0.0,127.7,,
 645A       ,70&deg;27.432'N, 64&deg;39.258'W,            2007.1,1.0,4.9,4.94,100.8,0.0,4.9,,
 645B       ,70&deg;27.432'N, 64&deg;39.258'W,            2008.2,32.0,298.3,171.68,57.6,0.0,298.9,,
 645C       ,70&deg;27.432'N, 64&deg;39.258'W,            2007.7,3.0,23.3,10.89,46.7,0.0,23.3,,
 645D       ,70&deg;27.432'N, 64&deg;39.372'W,            2007.5,20.0,190.4,106.84,56.1,0.0,465.8,,
 645E       ,70&deg;27.480'N, 64&deg;39.300'W,            2008.3,78.0,720.9,535.57,74.3,426.2,1147.1,,
 645F       ,70&deg;27.480'N, 64&deg;39.288'W,            2008.3,3.0,23.0,12.34,53.7,0.0,23.0,,
 645G       ,70&deg;27.480'N, 64&deg;39.288'W,            2007.5,2.0,16.0,8.49,53.1,0.0,17.0,,
 646A       ,58&deg;12.558'N, 48&deg;22.146'W,            3440.3,11.0,103.5,92.14,89.0,0.0,103.5,,
 646B       ,58&deg;12.558'N, 48&deg;22.146'W,            3440.3,80.0,766.2,404.25,52.8,0.0,766.7,,
 647A       ,53&deg;19.878'N, 45&deg;15.720'W,            3868.5,75.0,716.6,444.6,62.0,0.0,736.0,,
 647B       ,53&deg;19.878'N, 45&deg;15.720'W,            3860.2,11.0,103.3,93.17,90.2,0.0,103.3,,
 648A       ,22&deg;55.310'N, 44&deg;56.830'W,            3299.4,1.0,4.5,0.14,3.1,0.0,4.5,,
 648B       ,22&deg;55.320'N, 44&deg;56.825'W,            3333.3,6.0,40.8,6.77,16.6,0.0,33.3,,
 649A       ,23&deg;22.139'N, 44&deg;57.043'W,            3516.9,1.0,7.5,0.0,0.0,0.0,7.5,,
 649B       ,23&deg;22.139'N, 44&deg;57.043'W,            3516.9,1.0,6.5,6.0,92.3,0.0,6.5,,
 649C       ,23&deg;22.139'N, 44&deg;57.043'W,            3518.4,1.0,3.5,0.15,4.3,0.0,3.5,,
 649D       ,23&deg;22.139'N, 44&deg;57.043'W,            3517.4,1.0,6.5,0.0,0.0,0.0,6.5,,
 649E       ,23&deg;22.139'N, 44&deg;57.043'W,            3519.4,1.0,8.9,0.12,1.3,0.0,8.9,,
 649F       ,23&deg;22.139'N, 44&deg;57.043'W,            3514.4,1.0,13.0,0.04,0.3,0.0,13.0,,
 649G       ,23&deg;22.160'N, 44&deg;57.072'W,            3517.7,1.0,9.0,0.25,2.8,0.0,9.0,,
 649H       ,23&deg;22.160'N, 44&deg;57.072'W,            3510.7,1.0,3.0,0.15,5.0,0.0,3.0,,
 649I       ,23&deg;22.160'N, 44&deg;57.072'W,            3510.7,1.0,3.0,0.0,0.0,0.0,3.0,,
 649J       ,23&deg;22.160'N, 44&deg;57.072'W,            3506.7,1.0,3.0,0.0,0.0,0.0,3.0,,
 650A       ,39&deg;21.402'N, 13&deg;54.048'E,            3516.3,69.0,633.8,311.13,       49.1,0.0,633.8,,
 650B       ,39&deg;21.400'N, 13&deg;54.050'E,            3516.3,0.0,0.0,0.0,           ,0.0,102.5,,
 651A       ,40&deg; 9.030'N, 12&deg;45.390'E,            3578.0,58.0,550.9,185.66,33.7,0.0,550.9,,
 652A       ,40&deg;21.300'N, 12&deg; 8.592'E,            3446.0,75.0,721.1,445.3,61.8,0.0,721.1,,
 653A       ,40&deg;15.858'N, 11&deg;26.988'E,            2817.0,26.0,240.7,211.29,87.8,0.0,240.7,,
 653B       ,40&deg;15.858'N, 11&deg;26.952'E,            2817.0,28.0,264.3,219.08,82.9,0.0,264.3,,
 654A       ,40&deg;34.758'N, 10&deg;41.802'E,            2208.0,52.0,473.8,239.84,50.6,0.0,473.8,,
 655A       ,40&deg;10.332'N, 12&deg;27.918'E,            3290.0,12.0,89.8,77.38,86.2,0.0,90.4,,
 655B       ,40&deg;11.322'N, 12&deg;27.930'E,            3290.0,12.0,114.9,49.32,42.9,0.0,196.1,,
 656A       ,40&deg;11.062'N, 12&deg;11.030'E,            3597.0,14.0,133.6,50.04,37.5,0.0,236.4,,
 656B       ,40&deg;11.088'N, 12&deg;11.448'E,            3597.0,7.0,66.3,56.39,85.1,0.0,121.8,,
 657A       ,21&deg;19.890'N, 20&deg;56.928'W,            4232.0,19.0,178.2,127.57,71.6,0.0,178.2,,
 657B       ,21&deg;19.890'N, 20&deg;56.928'W,            4232.0,19.0,166.1,133.54,80.4,0.0,166.1,,
 658A       ,20&deg;44.952'N, 18&deg;34.848'W,            2263.5,33.0,300.4,294.98,98.2,0.0,300.4,,
 658B       ,20&deg;44.952'N, 18&deg;34.848'W,            2264.2,18.0,163.8,176.14,107.5,0.0,163.8,,
 658C       ,20&deg;44.952'N, 18&deg;34.848'W,            2262.9,8.0,72.9,70.38,96.5,0.0,72.9,,
 659A       ,18&deg; 4.632'N, 21&deg; 1.572'W,            3071.2,29.0,273.8,174.95,63.9,0.0,273.8,,
 659B       ,18&deg; 4.632'N, 21&deg; 1.572'W,            3073.4,22.0,202.1,163.75,81.0,0.0,202.1,,
 659C       ,18&deg; 4.632'N, 21&deg; 1.572'W,            3070.5,8.0,76.0,72.48,95.4,0.0,196.0,,
 660A       ,10&deg; 0.810'N, 19&deg;14.736'W,            4332.2,19.0,164.9,163.74,99.3,0.0,164.9,,
 660B       ,10&deg; 0.810'N, 19&deg;14.736'W,            4332.3,16.0,148.8,141.98,95.4,0.0,148.8,,
 661A       , 9&deg;26.808'N, 19&deg;23.166'W,            4012.7,32.0,296.1,234.93,79.3,0.0,296.1,,
 661B       , 9&deg;26.808'N, 19&deg;23.166'W,            4013.1,9.0,81.7,81.43,99.7,0.0,81.7,,
 662A       , 1&deg;23.412'S, 11&deg;44.352'W,            3813.8,22.0,200.0,203.87,101.9,0.0,200.0,,
 662B       , 1&deg;23.412'S, 11&deg;44.352'W,            3813.8,12.0,114.0,114.83,100.7,0.0,188.2,,
 663A       , 1&deg;11.868'S, 11&deg;52.710'W,            3607.6,16.0,147.2,119.05,80.9,0.0,147.2,,
 663B       , 1&deg;11.868'S, 11&deg;52.710'W,            3607.4,16.0,152.0,153.57,101.0,0.0,152.0,,
 664A       , 0&deg; 6.438'N, 23&deg;13.650'W,            3806.0,1.0,9.5,9.64,101.5,0.0,28.9,,
 664B       , 0&deg; 6.438'N, 23&deg;13.650'W,            3806.3,26.0,247.0,245.02,99.2,0.0,247.0,,
 664C       , 0&deg; 6.438'N, 23&deg;13.650'W,            3806.8,7.0,61.2,57.18,93.4,0.0,61.2,,
 664D       , 0&deg; 6.438'N, 23&deg;13.650'W,            3801.7,32.0,296.8,302.85,102.0,0.0,296.8,,
 665A       , 2&deg;57.072'N, 19&deg;40.068'W,            4740.4,11.0,97.9,99.97,102.1,0.0,97.9,,
 665B       , 2&deg;57.072'N, 19&deg;40.068'W,            4741.8,9.0,82.0,72.48,88.4,0.0,82.0,,
 666A       , 3&deg;29.838'N, 20&deg;10.032'W,            4516.8,16.0,150.5,150.49,100.0,0.0,150.5,,
 667A       , 4&deg;34.152'N, 21&deg;54.678'W,            3525.0,41.0,381.3,309.16,81.1,0.0,381.3,,
 667B       , 4&deg;34.152'N, 21&deg;54.678'W,            3524.7,15.0,139.6,128.56,92.1,0.0,139.6,,
 668A       , 4&deg;46.122'N, 20&deg;55.620'W,            2690.0,1.0,8.8,8.79,99.9,0.0,8.8,,
 668B       , 4&deg;46.122'N, 20&deg;55.620'W,            2693.1,4.0,31.2,31.21,100.0,0.0,31.2,,
 395C       ,22&deg;45.500'N, 46&deg; 4.900'W,            4490.2,0.0,0.0,0.0,           ,0.0,84.0,,
 648B       ,22&deg;55.320'N, 44&deg;56.825'W,            3329.9,14.0,105.5,17.6,16.7,0.0,50.5,,
 669A       ,23&deg;31.020'N, 45&deg; 2.748'W,            1979.0,1.0,4.0,0.1,2.5,0.0,4.0,,
 670A       ,23&deg; 9.996'N, 45&deg; 1.932'W,            3625.0,7.0,76.6,4.58,6.0,0.0,92.5,,
 671A       ,15&deg;31.548'N, 58&deg;43.950'W,            4931.1,1.0,5.0,5.02,100.4,0.0,5.0,,
 671B       ,15&deg;31.548'N, 58&deg;43.950'W,            4931.7,74.0,691.2,553.13,80.0,0.0,691.2,,
 671C       ,15&deg;31.680'N, 58&deg;43.968'W,            4936.5,2.0,19.0,16.66,87.7,0.0,514.7,,
 671D       ,15&deg;31.482'N, 58&deg;43.878'W,            4942.5,1.0,9.0,0.0,0.0,0.0,461.0,,
 672A       ,15&deg;32.400'N, 58&deg;38.460'W,            4982.5,53.0,493.8,382.62,77.5,0.0,493.8,,
 673A       ,15&deg;31.902'N, 58&deg;48.600'W,            4667.4,4.0,36.4,33.33,91.6,0.0,36.4,,
 673B       ,15&deg;31.920'N, 58&deg;48.492'W,            4678.7,35.0,330.6,247.05,74.7,0.0,330.6,,
 674A       ,15&deg;32.292'N, 58&deg;51.090'W,            4550.2,48.0,452.6,354.58,78.3,0.0,452.6,,
 675A       ,15&deg;31.770'N, 58&deg;43.008'W,            5007.8,8.0,66.7,44.74,67.1,0.0,388.1,,
 676A       ,15&deg;31.848'N, 58&deg;42.198'W,            5059.6,33.0,310.2,262.09,84.5,0.0,310.2,,
 504B       , 1&deg;13.611'N, 83&deg;43.818'W,            3460.0,29.0,209.0,27.36,13.1,0.0,1562.1,,
 677A       , 1&deg;12.138'N, 83&deg;44.220'W,            3472.0,34.0,309.4,279.44,90.3,0.0,309.4,,
 677B       , 1&deg;12.144'N, 83&deg;44.220'W,            3473.0,10.0,93.1,93.03,99.9,0.0,93.1,,
 678A       , 1&deg;13.008'N, 83&deg;43.392'W,            3464.0,1.0,0.6,0.54,90.0,0.0,0.6,,
