leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth (m),sample depth (m),percent total carbon,percent organic carbon,percent calcium carbonate (CaCO3),method code,data source code
1,1,,1,1,5.0,5.0,151.5,151.55,2.4,0.7,14.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,1,2,3.0,3.0,151.5,153.03,2.4,0.8,13.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,1,3,7.0,7.0,151.5,154.57,3.6,0.8,23.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,1,4,9.0,9.0,151.5,156.09,2.8,0.9,16.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,1,5,4.0,4.0,151.5,157.54,5.4,0.7,39.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,1,6,4.0,4.0,151.5,159.04,2.9,0.8,17.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,1,7,2.0,2.0,151.5,160.52,2.7,0.9,14.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,2,1,61.0,61.0,299.3,299.91,2.8,0.6,18.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,2,2,8.0,8.0,299.3,300.88,2.6,0.6,16.4,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,2,3,4.0,4.0,299.3,302.34,2.5,0.6,16.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,3,1,0.0,0.0,455.1,455.1,2.9,0.6,18.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,5,1,12.0,12.0,484.0,484.12,2.7,0.6,17.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,5,2,4.0,4.0,484.0,485.54,2.4,0.7,13.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,6,1,14.0,14.0,691.3,691.44,3.3,0.8,20.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,6,2,5.0,5.0,691.3,692.85,3.1,0.9,18.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,6,3,8.0,8.0,691.3,694.38,3.3,0.9,19.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,7,1,4.0,4.0,695.6,696.44,2.8,0.4,20.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,7,2,3.0,3.0,695.6,697.93,2.2,0.7,12.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,7,3,6.0,6.0,695.6,699.46,2.9,0.6,18.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,7,4,4.0,4.0,695.6,700.94,2.9,0.8,17.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,7,5,6.0,6.0,695.6,702.46,3.2,0.5,22.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,7,6,8.0,8.0,695.6,703.98,2.9,0.7,18.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,8,1,20.0,20.0,752.3,753.0,3.2,0.6,21.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,8,2,6.0,6.0,752.3,754.36,2.4,0.5,16.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,8,3,6.0,6.0,752.3,755.86,2.2,0.4,14.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,8,4,5.0,5.0,752.3,757.35,2.8,0.2,21.4,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,8,5,5.0,5.0,752.3,758.85,2.6,0.1,21.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,8,6,5.0,5.0,752.3,760.35,2.8,0.2,21.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,9,2,5.0,5.0,761.4,763.05,1.3,0.8,4.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,9,3,10.0,10.0,761.4,764.6,3.7,0.7,24.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,9,4,5.0,5.0,761.4,766.05,2.8,0.5,19.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,9,4,80.0,80.0,761.4,766.8,3.5,0.6,24.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,9,5,6.0,6.0,761.4,767.56,1.9,0.5,11.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,1,,9,6,7.0,7.0,761.4,769.07,2.6,0.6,17.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,2,,1,2,5.0,5.0,19.5,21.05,4.5,0.2,35.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,2,,1,3,8.0,8.0,19.5,22.58,5.2,0.2,41.4,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,2,,2,1,40.0,40.0,57.6,58.0,5.3,0.3,41.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,2,,3,1,106.0,106.0,66.8,67.86,4.8,0.2,38.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,2,,3,2,10.0,10.0,66.8,68.4,5.7,0.3,44.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,2,,3,3,10.0,10.0,66.8,69.9,4.3,0.2,34.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,2,,4,2,7.0,7.0,101.5,103.07,6.2,0.1,51.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,1,1,7.0,7.0,25.0,25.07,3.2,0.7,20.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,1,2,10.0,10.0,25.0,26.6,2.3,0.8,11.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,2,1,52.0,52.0,35.7,36.22,3.6,0.7,24.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,2,2,40.0,40.0,35.7,37.6,2.5,0.7,14.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,2,3,9.0,9.0,35.7,38.79,2.5,0.7,15.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,3,2,7.0,7.0,200.3,201.87,2.6,0.3,19.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,4,1,42.0,42.0,209.4,209.82,3.2,0.4,23.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,5,1,43.0,43.0,320.0,320.43,4.3,0.2,34.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,5,2,15.0,15.0,320.0,321.65,4.1,0.2,32.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,5,3,10.0,10.0,320.0,323.1,5.4,0.3,42.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,5,4,6.0,6.0,320.0,324.56,4.5,0.2,35.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,5,5,41.0,41.0,320.0,326.41,5.6,0.3,43.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,6,1,47.0,47.0,330.1,330.57,6.4,0.2,51.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,6,2,5.0,5.0,330.1,331.65,5.7,0.3,44.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,7,1,30.0,30.0,381.0,381.3,4.7,0.2,37.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,7,2,4.0,4.0,381.0,382.54,4.1,0.2,33.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,7,3,6.0,6.0,381.0,384.06,3.2,0.2,25.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,7,4,8.0,8.0,381.0,385.58,5.0,0.2,39.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,8,1,100.0,100.0,429.5,430.5,4.5,0.2,35.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,8,2,10.0,10.0,429.5,431.1,4.6,0.3,35.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,8,3,10.0,10.0,429.5,432.6,3.6,0.2,28.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,8,4,14.0,14.0,429.5,434.14,4.7,0.1,38.4,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,8,5,11.0,11.0,429.5,435.61,4.6,0.1,37.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,8,6,13.0,13.0,429.5,437.13,5.4,0.3,42.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,9,1,16.0,16.0,534.0,534.34,0.6,0.2,1.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,9,2,10.0,10.0,534.0,535.78,1.4,0.3,9.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,9,3,7.0,7.0,534.0,537.25,0.5,0.3,1.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,9,4,7.0,7.0,534.0,538.75,1.1,0.3,6.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,9,5,10.0,10.0,534.0,540.28,1.3,0.9,3.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,9,6,9.0,9.0,534.0,541.77,1.4,0.4,8.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,10,2,7.0,7.0,609.6,611.17,2.4,0.2,18.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,3,,11,1,60.0,60.0,620.3,620.9,2.3,0.3,16.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,1,1,40.0,40.0,0.0,0.4,10.9,5.0,49.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,1,2,60.0,60.0,0.0,2.1,0.9,0.1,6.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,1,3,7.0,7.0,0.0,3.07,4.0,0.1,33.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,1,4,7.0,7.0,0.0,4.57,1.1,0.1,8.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,1,5,21.0,21.0,0.0,6.21,1.2,0.1,9.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,1,6,11.0,11.0,0.0,7.61,0.1,0.1,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,2,1,11.0,11.0,104.2,104.31,6.2,0.7,45.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,3,1,25.0,25.0,133.8,134.05,2.7,0.3,19.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,4,1,18.0,18.0,190.8,190.98,9.7,1.8,65.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,1,1,40.0,40.0,0.0,0.4,10.9,5.0,49.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,1,2,60.0,60.0,0.0,2.1,0.9,0.1,6.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,1,3,7.0,7.0,0.0,3.07,4.0,0.1,33.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,1,4,7.0,7.0,0.0,4.57,1.1,0.1,8.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,1,5,21.0,21.0,0.0,6.21,1.2,0.1,9.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,1,6,11.0,11.0,0.0,7.61,0.1,0.1,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,2,1,11.0,11.0,104.2,104.31,6.2,0.7,45.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,3,1,25.0,25.0,133.8,134.05,2.7,0.3,19.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,4,,4,1,18.0,18.0,190.8,190.98,9.7,1.8,65.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,5,,1,1,10.0,10.0,0.0,0.1,1.0,0.1,7.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,5,,1,2,91.0,91.0,0.0,2.41,6.1,0.1,49.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,5,,1,3,4.0,4.0,0.0,3.04,7.4,0.3,59.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,5,,2,1,89.0,89.0,31.1,31.99,7.4,0.7,55.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,5,,3,1,53.0,53.0,71.0,71.53,0.3,0.1,1.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,5,,1,1,10.0,10.0,0.0,0.1,1.0,0.1,7.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,5,,1,2,91.0,91.0,0.0,2.41,6.1,0.1,49.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,5,,1,3,4.0,4.0,0.0,3.04,7.4,0.3,59.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,5,,2,1,89.0,89.0,31.1,31.99,7.4,0.7,55.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,5,,3,1,53.0,53.0,71.0,71.53,0.3,0.1,1.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,1,1,11.0,11.0,40.8,40.91,0.1,0.1,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,1,2,11.0,11.0,40.8,42.41,0.1,0.1,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,1,3,8.0,8.0,40.8,43.88,0.1,0.1,0.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,1,4,6.0,6.0,40.8,45.36,0.5,0.1,3.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,2,1,16.0,16.0,152.1,152.26,0.1,0.1,0.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,2,2,7.0,7.0,152.1,153.67,2.7,0.6,18.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,2,3,8.0,8.0,152.1,155.18,0.2,0.1,1.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,2,4,11.0,11.0,152.1,156.71,0.2,0.2,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,2,5,21.0,21.0,152.1,158.31,0.1,0.1,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,2,6,11.0,11.0,152.1,159.71,1.1,0.1,8.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,3,2,11.0,11.0,190.5,192.11,2.8,0.1,22.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,3,3,47.0,47.0,190.5,193.97,3.7,0.2,29.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,3,4,12.0,12.0,190.5,195.12,0.2,0.1,0.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,4,1,10.0,10.0,229.2,229.3,2.2,0.3,15.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,4,2,16.0,16.0,229.2,230.86,3.8,0.3,29.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,4,3,9.0,9.0,229.2,232.29,3.8,0.2,30.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,5,1,11.0,11.0,246.6,246.71,0.2,0.2,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,5,2,81.0,81.0,246.6,248.91,5.0,0.4,38.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,6,1,8.0,8.0,249.0,249.08,4.4,0.1,35.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,6,2,5.0,5.0,249.0,250.55,0.7,0.1,4.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,1,1,11.0,11.0,40.8,40.91,0.1,0.1,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,1,2,11.0,11.0,40.8,42.41,0.1,0.1,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,1,3,8.0,8.0,40.8,43.88,0.1,0.1,0.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,1,4,6.0,6.0,40.8,45.36,0.5,0.1,3.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,2,1,16.0,16.0,152.1,152.26,0.1,0.1,0.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,2,2,7.0,7.0,152.1,153.67,2.7,0.6,18.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,2,3,8.0,8.0,152.1,155.18,0.2,0.1,1.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,2,4,11.0,11.0,152.1,156.71,0.2,0.2,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,2,5,21.0,21.0,152.1,158.31,0.1,0.1,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,2,6,11.0,11.0,152.1,159.71,1.1,0.1,8.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,3,2,11.0,11.0,190.5,192.11,2.8,0.1,22.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,3,3,47.0,47.0,190.5,193.97,3.7,0.2,29.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,3,4,12.0,12.0,190.5,195.12,0.2,0.1,0.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,4,1,10.0,10.0,229.2,229.3,2.2,0.3,15.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,4,2,16.0,16.0,229.2,230.86,3.8,0.3,29.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,4,3,9.0,9.0,229.2,232.29,3.8,0.2,30.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,5,1,11.0,11.0,246.6,246.71,0.2,0.2,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,5,2,81.0,81.0,246.6,248.91,5.0,0.4,38.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,6,1,8.0,8.0,249.0,249.08,4.4,0.1,35.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,6,,6,2,5.0,5.0,249.0,250.55,0.7,0.1,4.9,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,7,,1,0,10.0,10.0,0.0,0.1,6.8,0.1,56.4,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,7,,1,1,22.0,22.0,0.0,0.32,2.9,0.2,22.4,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,7,,1,5,8.0,8.0,0.0,6.18,0.3,0.1,1.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,7,,1,0,10.0,10.0,0.0,0.1,6.8,0.1,56.4,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,7,,1,1,22.0,22.0,0.0,0.32,2.9,0.2,22.4,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
1,7,,1,5,8.0,8.0,0.0,6.18,0.3,0.1,1.7,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,8,,2,2,37.0,37.0,249.0,250.87,0.5,0.1,3.4,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,8,,2,2,37.0,37.0,249.0,250.87,0.5,0.1,3.4,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,5,3,11.0,11.0,31.4,34.51,1.6,0.5,9.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,7,4,11.0,11.0,194.5,199.11,0.9,0.2,5.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,8,3,3.0,3.0,203.6,206.63,0.4,0.3,0.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,8,6,4.0,4.0,203.6,211.14,0.2,0.2,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,9,2,10.0,10.0,301.5,303.1,0.3,0.2,0.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,10,3,11.0,11.0,310.6,313.71,0.3,0.3,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,10,6,55.0,55.0,310.6,318.65,1.2,0.3,7.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,5,3,11.0,11.0,31.4,34.51,1.6,0.5,9.2,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,7,4,11.0,11.0,194.5,199.11,0.9,0.2,5.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,8,3,3.0,3.0,203.6,206.63,0.4,0.3,0.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,8,6,4.0,4.0,203.6,211.14,0.2,0.2,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,9,2,10.0,10.0,301.5,303.1,0.3,0.2,0.8,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,10,3,11.0,11.0,310.6,313.71,0.3,0.3,0.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,9,,10,6,55.0,55.0,310.6,318.65,1.2,0.3,7.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,1,1,76.0,76.0,29.9,30.66,8.1,0.0,67.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,3,1,76.0,76.0,48.2,48.96,8.0,0.6,61.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,5,3,80.0,80.0,71.3,75.1,10.6,0.0,88.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,7,3,11.0,11.0,89.5,92.61,6.4,0.0,53.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,9,1,64.0,64.0,176.2,176.84,7.7,0.0,64.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,10,1,107.0,107.0,291.2,292.27,11.1,0.0,92.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,10,3,16.0,16.0,291.2,294.36,11.6,0.3,94.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,12,2,11.0,11.0,386.8,388.41,10.0,0.2,81.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,13,1,101.0,101.0,395.9,396.91,10.5,4.0,54.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,13,3,101.0,101.0,395.9,399.91,10.7,0.1,89.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,14,3,120.0,120.0,405.0,409.2,10.4,0.0,86.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,15,2,121.0,121.0,414.1,416.81,10.6,0.2,86.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,16,2,97.0,97.0,423.2,425.67,9.9,0.1,82.5,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,17,1,144.0,144.0,432.3,433.74,10.9,0.1,90.0,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,10,,18,2,100.0,100.0,441.4,443.9,10.4,0.0,86.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,11,,1,1,12.0,12.0,14.0,14.12,10.0,0.0,83.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
2,11,,1,1,12.0,12.0,14.0,14.12,10.0,0.0,83.3,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
3,13,,1,2,47.0,47.0,0.0,1.97,7.8,0.2,63.6,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
3,13,,1,3,45.0,45.0,0.0,3.45,6.4,0.3,51.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
3,13,,1,4,47.0,47.0,0.0,4.97,6.7,0.3,53.1,LECO 70-SECOND ANALYZER (total and/or organic),DSDP SHORE LABORATORY
